path,size,git_sha1,sha256,source_url,note,url_provenance
2020/202005/22dekh.com (Netflix.zip)/Netflix.zip,2044680,106ba4fd5c09d27334b757989fe4a09b871ace62,9af50f051ccf2ad101bbd322168efed8a2645091f317cff9534fc3c755af8a67,https://22dekh.com/Netflix.zip,,inferred
2020/202005/allaccountsseller.com (bankofamerica.zip)/bankofamerica.zip,1161852,49e5265f5a78e6d901185cee60aafec55ad29da1,9273c8a5b8a035d1b15d048a5466220aedc0b95b1f177bc1c6c429e76ab2691e,https://allaccountsseller.com/wp-admin/bankofamerica.zip,,inferred
2020/202005/applepaymentpartner.com (paypal.zip)/paypal.zip,39830,1132e2597374ea97c6d70caa9d66687744cf488f,ab9da5ad99f7281a55e793660988e9ae823478be953535e322e6ef6f2c53771c,http://applepaymentpartner.com/en-ca/paypal.zip,not-an-archive,inferred
2020/202005/bb.babycarloz.com (XaouFi-V5-cleaned%20(1).zip)/XaouFi-V5-cleaned%20(1).zip,838251,b5b4a07d8252fc0379f67ae983b8ff8b8bcad35d,8d67e3cffe188124c20943ba50115324d13c38239ccb25045fddb704d03be80f,https://bb.babycarloz.com/paypal/XaouFi-V5-cleaned%20(1).zip,,inferred
2020/202005/blackinfinite.catalogoderecompensas.com.br (itau.zip)/itau.zip,2359,e3a6aebdcc2a830deb9985c302f58966b2093f46,b8229cf4be50be3e8929e94eb5b44e8663b47164397afc32feee18bbf61f043a,https://blackinfinite.catalogoderecompensas.com.br/itau.zip,not-an-archive,inferred
2020/202005/crelletively.tk (wp-db.zip)/wp-db.zip,49084,15339e43e9f718fb0f1957de5026170e0028762d,c0fd8ce416b99c999becfd25126f69ab1b7570f8f090a54f224cd0a8f20b9eb8,http://crelletively.tk/dropbox/wp-db.zip,,inferred
2020/202005/crowaway.com (info.zip)/info.zip,3931700,30586f2ed80db88768a26fe43711ddc583125f10,a3da64c620227cda8f292b87a9603e150e986fc78d137beebb508e3dc9262106,http://crowaway.com/amazon/info.zip,,inferred
2020/202005/fes-romania.org (domain.zip)/domain.zip,170971,d35b7f54c98fd7ad521b23039aaf031bbbe9362b,115db8aca116f8ac5cd6c15272d1e705de6110866ec666dd2c9c9c67eb803621,https://fes-romania.org/domain.zip,,inferred
2020/202005/girlsgettinggoals.com (latest-onedrive.zip)/latest-onedrive.zip,706304,6753d0cb8e71bf01380bcc9cffd4dbb04931a69e,166804da8920d90e5dc23f7bd803f8ba4331d7449b9f3468f8168b4fd323da2b,http://girlsgettinggoals.com/abc/latest-onedrive.zip,,inferred
2020/202005/gogeohealth.net (office365.zip)/office365.zip,1418915,bf4f2a98e80448c12eee3fdceb59c2d2fdd97418,7baf2bf62d9d3bd68f66f5f56b27b59cb7982365e419f10d216aacb2c7d7ef61,http://gogeohealth.net/LOGIN/office365.zip,,inferred
